date,irain,rain,itemp,temp,iwb,wetb,dewpt,vappr,rhum,msl,iwdsp,wdsp,iwddir,wddir,ww,w,sun,vis,clht,clamt
2017-01-01 00:00:00,0,0.9,0,5.3,0,4.7,3.9,8.1,91,1019.9,2,12,2,340,61,62,0,25000,45,8
2017-01-01 01:00:00,0,0.2,0,4.9,0,4.6,4.3,8.2,95,1019.7,2,8,2,310,61,66,0,25000,60,8
2017-01-01 02:00:00,0,0.1,0,5,0,4.5,3.7,8,92,1019.8,2,8,2,310,21,62,0,30000,60,8
2017-01-01 03:00:00,2,0,0,4.2,0,3.6,2.7,7.4,90,1020.2,2,12,2,330,21,62,0,30000,60,7
2017-01-01 04:00:00,0,0,0,3.6,0,2.9,1.9,7,88,1020.2,2,11,2,330,2,11,0,30000,200,6
2017-01-01 05:00:00,0,0,0,2.8,0,2.2,1.3,6.7,89,1020.4,2,12,2,330,2,11,0,30000,200,4
2017-01-01 06:00:00,0,0,0,1.7,0,1.2,0.4,6.3,91,1020.4,2,13,2,330,1,61,0,30000,999,2
2017-01-01 07:00:00,0,0,0,1.6,0,1.1,0.2,6.2,91,1021,2,13,2,330,2,11,0,35000,999,2
2017-01-01 08:00:00,2,0,0,2,0,1.4,0.3,6.3,89,1021.6,2,13,2,330,25,80,0,35000,999,1
2017-01-01 09:00:00,0,0,0,2.6,0,1.7,0.2,6.2,84,1022.8,2,13,2,340,3,80,0,35000,999,2
2017-01-01 10:00:00,0,0,0,3,0,2.1,0.5,6.4,84,1023.6,2,11,2,350,2,11,0.1,35000,999,2
2017-01-01 11:00:00,0,0,0,3.6,0,2.4,0.4,6.3,80,1024.2,2,12,2,350,2,11,0.3,35000,999,3
2017-01-01 12:00:00,0,0,0,4.4,0,2.9,0.6,6.3,76,1024.5,2,13,2,350,2,80,0.8,35000,999,3
2017-01-01 13:00:00,0,0,0,4.9,0,3.3,0.8,6.5,75,1024.8,2,16,2,350,2,11,1,35000,999,1
2017-01-01 14:00:00,0,0,0,5.1,0,3.4,0.8,6.4,73,1024.6,2,14,2,360,2,11,0.5,40000,999,3
2017-01-01 15:00:00,0,0,0,4.9,0,3.1,0.3,6.2,72,1025.5,2,15,2,360,2,11,0.4,40000,999,3
2017-01-01 16:00:00,0,0,0,4.7,0,3.3,1,6.6,78,1026,2,12,2,350,2,11,0.1,40000,35,5
2017-01-01 17:00:00,0,0,0,4.5,0,3.1,0.9,6.5,77,1026.8,2,12,2,350,2,11,0,30000,35,6
2017-01-01 18:00:00,0,0,0,3.9,0,2.7,0.8,6.5,80,1027.4,2,11,2,340,2,11,0,30000,40,6
2017-01-01 19:00:00,2,0,0,4.3,0,2.9,0.7,6.4,77,1028,2,11,2,350,25,82,0,30000,32,6
2017-01-01 20:00:00,2,0,0,4.1,0,2.9,1.1,6.6,80,1028.5,2,10,2,340,80,82,0,30000,25,7
2017-01-01 21:00:00,0,0.1,0,4.7,0,3.1,0.4,6.4,74,1029.2,2,15,2,30,25,82,0,30000,45,6
2017-01-01 22:00:00,2,0,0,5.2,0,3.7,1.4,6.8,76,1029.9,2,14,2,30,80,22,0,30000,45,7
2017-01-01 23:00:00,2,0,0,5.1,0,3.7,1.6,6.8,78,1030.4,2,16,2,30,25,82,0,25000,50,7
2017-01-02 00:00:00,2,0,0,5.1,0,3.6,1.3,6.7,76,1031.2,2,15,2,30,25,82,0,25000,45,7
2017-01-02 01:00:00,0,0,0,4.7,0,3.2,0.9,6.5,76,1031.9,2,14,2,20,2,11,0,30000,40,7
2017-01-02 02:00:00,2,0,0,4.6,0,3.1,0.6,6.4,76,1032.1,2,12,2,30,25,82,0,30000,45,6
2017-01-02 03:00:00,2,0,0,3.6,0,2.3,0.1,6.2,78,1032.5,2,10,2,20,25,82,0,30000,45,6
2017-01-02 04:00:00,0,0,0,3.3,0,1.8,-0.9,5.8,74,1032.8,2,8,2,20,2,11,0,30000,999,3
2017-01-02 05:00:00,0,0,0,1.6,0,0.6,-1.1,5.6,81,1033.5,2,8,2,10,2,11,0,30000,999,2
2017-01-02 06:00:00,0,0,1,-0.2,1,-0.9,-2.3,5.2,86,1033.7,2,6,2,360,1,81,0,30000,999,1
2017-01-02 07:00:00,0,0,0,0.4,1,-0.5,-2.2,5.2,82,1033.9,2,8,2,330,2,11,0,30000,999,1
2017-01-02 08:00:00,3,0,1,-0.6,1,-1.3,-2.7,5,85,1034.4,2,8,2,320,2,11,0,40000,999,1
2017-01-02 09:00:00,3,0,1,-1.5,1,-2.1,-3.3,4.8,87,1034.8,2,7,2,320,2,11,0.2,40000,999,1
2017-01-02 10:00:00,3,0,0,0.4,1,-0.5,-2.4,5.2,82,1034.9,2,8,2,320,2,11,1,40000,999,1
2017-01-02 11:00:00,0,0,0,1.7,0,0.5,-1.8,5.4,78,1035,2,8,2,310,2,11,1,40000,999,1
2017-01-02 12:00:00,0,0,0,3,0,1.6,-0.9,5.7,76,1034.8,2,8,2,310,2,11,1,40000,999,1
2017-01-02 13:00:00,0,0,0,3.9,0,2.5,0.2,6.2,77,1034.1,2,9,2,310,2,11,1,40000,999,1
2017-01-02 14:00:00,0,0,0,4.2,0,2.8,0.4,6.3,77,1033.9,2,8,2,310,2,11,0.9,40000,999,1
2017-01-02 15:00:00,0,0,0,3.9,0,2.6,0.5,6.3,78,1033.7,2,9,2,300,2,11,1,40000,999,1
2017-01-02 16:00:00,0,0,0,2.2,0,1.3,-0.3,6,84,1033.6,2,6,2,280,2,11,0.3,40000,999,1
2017-01-02 17:00:00,0,0,0,1.4,0,0.8,-0.2,6,89,1034,2,8,2,290,2,11,0,40000,999,1
2017-01-02 18:00:00,0,0,0,1.2,0,0.6,-0.4,5.9,89,1033.9,2,8,2,260,2,11,0,40000,999,1
2017-01-02 19:00:00,3,0,0,0.8,0,0.3,-0.5,5.8,90,1033.6,2,8,2,270,2,11,0,40000,999,1
2017-01-02 20:00:00,3,0,0,0.2,1,-0.2,-0.8,5.7,92,1033.7,2,9,2,270,2,11,0,40000,999,1
2017-01-02 21:00:00,3,0,0,0.2,1,-0.3,-1.1,5.6,90,1033.6,2,9,2,260,2,11,0,40000,999,1
2017-01-02 22:00:00,3,0,0,0.8,0,0.3,-0.7,5.8,90,1033.8,2,8,2,250,2,11,0,40000,999,1
2017-01-02 23:00:00,3,0,0,0.6,0,0.1,-0.9,5.8,90,1033.7,2,10,2,260,2,11,0,40000,999,1
2017-01-03 00:00:00,3,0,0,0.5,0,0,-0.9,5.7,90,1033.5,2,9,2,250,2,11,0,35000,999,1
2017-01-03 01:00:00,0,0,0,0,1,-0.3,-1,5.7,94,1033.2,2,9,2,250,2,11,0,30000,999,1
2017-01-03 02:00:00,0,0,1,-0.6,1,-0.8,-1.3,5.6,96,1032.7,2,9,2,260,2,11,0,30000,999,1
2017-01-03 03:00:00,0,0,1,-0.8,1,-1,-1.5,5.5,96,1032.4,2,9,2,250,2,11,0,30000,999,1
2017-01-03 04:00:00,0,0,1,-0.9,1,-1.1,-1.5,5.5,96,1032.3,2,9,2,260,2,11,0,25000,999,2
2017-01-03 05:00:00,0,0,0,0.2,0,0,-0.5,5.9,96,1031.7,2,9,2,270,2,11,0,18000,20,6
2017-01-03 06:00:00,0,0,0,0.3,0,0.1,-0.3,6,96,1031.7,2,9,2,250,2,11,0,20000,24,7
2017-01-03 07:00:00,0,0,0,0.7,0,0.4,-0.1,6,94,1031,2,9,2,250,2,11,0,25000,21,7
2017-01-03 08:00:00,0,0,0,1.2,0,0.8,0.2,6.2,92,1031.3,2,11,2,270,2,11,0,25000,23,7
2017-01-03 09:00:00,0,0,0,2,0,1.5,0.6,6.4,91,1031.2,2,12,2,260,2,11,0,17000,20,7
2017-01-03 10:00:00,0,0,0,2.9,0,2.2,1.1,6.6,88,1031.1,2,10,2,260,2,11,0,20000,20,7
2017-01-03 11:00:00,0,0,0,3.3,0,2.5,1.1,6.7,86,1031.1,2,11,2,260,2,11,0,30000,22,7
2017-01-03 12:00:00,0,0,0,3.8,0,2.9,1.4,6.8,85,1030.6,2,12,2,260,2,11,0,30000,24,7
2017-01-03 13:00:00,0,0,0,4.3,0,3.2,1.6,6.8,82,1030,2,14,2,260,2,11,0,30000,24,7
2017-01-03 14:00:00,0,0,0,4.6,0,3.5,1.8,7,82,1029.7,2,15,2,260,2,11,0,30000,22,7
2017-01-03 15:00:00,0,0,0,4.9,0,3.7,2,7,81,1029,2,14,2,260,2,11,0,30000,22,7
2017-01-03 16:00:00,0,0,0,4.8,0,3.6,1.9,6.9,81,1028.6,2,15,2,260,2,11,0,30000,20,7
2017-01-03 17:00:00,0,0,0,4.9,0,3.7,1.9,7,81,1028.5,2,15,2,260,2,11,0,30000,20,7
2017-01-03 18:00:00,0,0,0,4.8,0,3.8,2.3,7.2,84,1028.7,2,14,2,260,2,11,0,30000,16,7
2017-01-03 19:00:00,0,0,0,4.9,0,4,2.8,7.4,86,1028.7,2,14,2,260,2,11,0,30000,20,7
2017-01-03 20:00:00,0,0,0,4.5,0,4,3.4,7.7,92,1028.7,2,13,2,260,2,11,0,30000,20,7
2017-01-03 21:00:00,0,0,0,4.8,0,4.3,3.6,7.9,92,1028.8,2,14,2,260,2,11,0,30000,18,7
2017-01-03 22:00:00,0,0,0,4.7,0,4.2,3.5,7.8,92,1029,2,12,2,260,2,52,0,25000,17,7
2017-01-03 23:00:00,0,0,0,4.6,0,4.2,3.6,7.9,93,1029.1,2,11,2,260,2,11,0,25000,8,7
2017-01-04 00:00:00,2,0,0,4.7,0,4.4,3.9,8.1,95,1028.9,2,10,2,270,20,52,0,25000,6,7
2017-01-04 01:00:00,0,0,0,4.7,0,4.4,3.9,8.1,95,1028.5,2,11,2,260,2,11,0,25000,5,7
2017-01-04 02:00:00,0,0,0,4.6,0,4.3,3.9,8.1,95,1028.3,2,12,2,270,2,11,0,25000,22,7
2017-01-04 03:00:00,0,0,0,4.9,0,4.4,3.8,8,92,1028.4,2,13,2,270,2,11,0,25000,22,7
2017-01-04 04:00:00,0,0,0,5.1,0,4.6,3.8,8.1,92,1028.6,2,11,2,270,2,11,0,25000,22,7
2017-01-04 05:00:00,2,0,0,4.6,0,4.2,3.6,7.9,93,1028.3,2,11,2,270,20,52,0,25000,20,8
2017-01-04 06:00:00,0,0,0,4.1,0,3.9,3.5,7.9,97,1028.5,2,10,2,260,2,52,0,25000,20,7
2017-01-04 07:00:00,0,0,0,4.6,0,4.2,3.7,7.9,93,1028.6,2,11,2,270,2,11,0,25000,8,7
2017-01-04 08:00:00,0,0,0,4.9,0,4.5,4,8.1,94,1028.7,2,11,2,280,2,11,0,18000,6,8
2017-01-04 09:00:00,0,0,0,4.8,0,4.5,4,8.2,95,1029,2,12,2,290,2,11,0,17000,7,8
2017-01-04 10:00:00,0,0,0,5.1,0,4.8,4.3,8.4,95,1029.5,2,12,2,290,10,22,0,14000,6,7
